Talk_ID,public_url,headline,description,duration,published,tags,views,speaker_1,speaker1_occupation,occupation_categorized,occupation_broader
1531,https://www.ted.com/talks/daphne_koller_what_we_re_learning_from_online_education,What we're learning from online education,"Daphne Koller is enticing top universities to put their most intriguing courses online for free -- not just as a service, but as a way to research how people learn. With Coursera (cofounded by Andrew Ng), each keystroke, quiz, peer-to-peer discussion and self-graded assignment builds an unprecedented pool of data on how knowledge is processed.",0:20:40,8/1/12,"code,Internet,global issues,computers,education",2409932,Daphne Koller,Educator,Educator,Educator
1248,https://www.ted.com/talks/bunker_roy,Learning from a barefoot movement,"In Rajasthan, India, an extraordinary school teaches rural women and men -- many of them illiterate -- to become solar engineers, artisans, dentists and doctors in their own villages. It's called the Barefoot College, and its founder, Bunker Roy, explains how it works.",0:19:07,10/17/11,"global issues,india,global development,women,invention,culture,education",3708809,Bunker Roy,Educator,Educator,Educator
228,https://www.ted.com/talks/alan_kay_shares_a_powerful_idea_about_ideas,A powerful idea about ideas,"With all the intensity and brilliance for which he is known, Alan Kay envisions better techniques for teaching kids by using computers to illustrate experience in ways --- mathematically and scientifically -- that only computers can.",0:20:37,3/4/08,"children,design,computers,technology,collaboration",794949,Alan Kay,Educator and computing pioneer,Educator,Educator
1090,https://www.ted.com/talks/salman_khan_let_s_use_video_to_reinvent_education,Let's use video to reinvent education,"Salman Khan talks about how and why he created the remarkable Khan Academy, a carefully structured series of educational videos offering complete curricula in math and, now, other subjects. He shows the power of interactive exercises, and calls for teachers to consider flipping the traditional classroom script -- give students video lectures to watch at home, and do ""homework"" in the classroom with the teacher available to help.",0:20:27,3/9/11,"online video,global issues,teaching,culture,education",4830622,Sal Khan,Educator and social entrepreneur,Educator,Educator
3633,https://www.ted.com/talks/sebastian_thrun_and_chris_anderson_the_new_generation_of_computers_is_programming_itself,What AI is -- and isn't,"Educator and entrepreneur Sebastian Thrun wants us to use AI to free humanity of repetitive work and unleash our creativity. In an inspiring, informative conversation with TED Curator Chris Anderson, Thrun discusses the progress of deep learning, why we shouldn't fear runaway AI and how society will be better off if dull, tedious work is done with the help of machines. ""Only one percent of interesting things have been invented yet,"" Thrun says. ""I believe all of us are insanely creative ... [AI] will empower us to turn creativity into action.""",0:24:21,11/30/17,"driverless cars,interview,software,potential,motivation,creativity,computers,intelligence,cancer,AI,algorithm,data,innovation,invention,entrepreneur,technology,future,work,collaboration,society",1370154,Sebastian Thrun,"Educator, entrepreneur",Educator,Educator
1109,https://www.ted.com/talks/sebastian_thrun_google_s_driverless_car,Google's driverless car,"Sebastian Thrun helped build Google's amazing driverless car, powered by a very personal quest to save lives and reduce traffic accidents. Jawdropping video shows the DARPA Challenge-winning car motoring through busy city traffic with no one behind the wheel, and dramatic test drive footage from TED2011 demonstrates how fast the thing can really go.",0:04:14,3/31/11,"driverless cars,transportation,robots,science,business,technology",2579537,Sebastian Thrun,"Educator, entrepreneur",Educator,Educator
1761,https://www.ted.com/talks/al_vernacchio_sex_needs_a_new_metaphor_here_s_one,Sex needs a new metaphor. Here's one ...,"For some reason, says educator Al Vernacchio, the metaphors for talking about sex in the US all come from baseball -- scoring, getting to first base, etc. The problem is, this frames sex as a competition, with a winner and a loser. Instead, he suggests a new metaphor, one that's more about shared pleasure, discussion and agreement, fulfillment and enjoyment. Let's talk about ... pizza.",0:08:21,7/12/13,"sex,food,culture",1950716,Al Vernacchio,Sexuality educator,Educator,Educator
1798,https://www.ted.com/talks/bastian_schaefer_a_3d_printed_jumbo_jet,A 3D-printed jumbo jet?,"Designer Bastian Schaefer shows off a speculative design for the future of jet planes, with a skeleton inspired by strong, flexible, natural forms and by the needs of the world's, ahem, growing population. Imagine an airplane that's full of light and space -- and built up from generative parts in a 3D printer.",0:05:58,7/29/13,"industrial design,transportation,flight,design,manufacturing",1122246,Bastian Schaefer,Aircraft engineer,Engineer,Engineer
533,https://www.ted.com/talks/mae_jemison_on_teaching_arts_and_sciences_together,Teach arts and sciences together,"Mae Jemison is an astronaut, a doctor, an art collector, a dancer ... Telling stories from her own education and from her time in space, she calls on educators to teach both the arts and sciences, both intuition and logic, as one -- to create bold thinkers.",0:14:48,5/5/09,"science and art,space,art,science,technology,future,dance,education",806404,Mae Jemison,"Astronaut, engineer, entrepreneur, physician and educator",Engineer,Engineer
2440,https://www.ted.com/talks/raffaello_d_andrea_meet_the_dazzling_flying_machines_of_the_future,Meet the dazzling flying machines of the future,"When you hear the word ""drone,"" you probably think of something either very useful or very scary. But could they have aesthetic value? Autonomous systems expert Raffaello D'Andrea develops flying machines, and his latest projects are pushing the boundaries of autonomous flight -- from a flying wing that can hover and recover from disturbance to an eight-propeller craft that's ambivalent to orientation ... to a swarm of tiny coordinated micro-quadcopters. Prepare to be dazzled by a dreamy, swirling array of flying machines as they dance like fireflies above the TED stage.",0:11:35,2/19/16,"demo,flight,beauty,drones,design,creativity,invention,technology,future",3267530,Raffaello D'Andrea,Autonomous systems pioneer,Engineer,Engineer
